isim,enlem,boylam,osm_id
Hasköy Şule Eczanesi,39.9716422,32.8849945,4084863504
Güneşevler Eczanesi,39.9715808,32.8850561,4084863505
Fırat Hasköy Eczanesi,39.971347,32.8852564,4084863506
Talanur Eczanesi,39.9712303,32.8853841,4084872797
Balık Eczanesi,39.97115,32.8855566,4084872799
Enes Eczanesi,39.9974387,32.8451487,4084938757
Kağan Gökay Eczanesi,39.997962,32.844867,4084938778
Akarsu Eczanesi,39.9971489,32.8468089,4084939403
Dört Mevsim Eczanesi,39.9965716,32.8463188,4084939437
Kuşcağız Eczanesi,39.9967523,32.8431119,4085035451
Yeni Barış Eczanesi,39.9826759,32.8385687,4085039208
Yeni Deva Eczanesi,39.9835596,32.8339688,4085039210
Özlem Eczanesi,39.9802069,32.8368903,4085039212
Özvural Eczanesi,39.9774233,32.8366418,4085039213
Erdem Eczanesi,39.9997554,32.8533488,4085983593
Gazeller Eczanesi,39.9997902,32.853215,4085983602
Şentepe Eczanesi,39.986776,32.7858023,4086022371
Gülreyhan Eczanesi,39.9867075,32.7861536,4086022380
Yeni Esin Eczanesi,39.9822113,32.7900143,4086022801
Elvan Tuğba Eczanesi,39.9817432,32.7892741,4086022812
Gülistan Eczanesi,39.9728077,32.790218,4086022835
Akar Eczanesi,39.9730618,32.7904655,4086022840
Edanur Eczanesi,39.9731656,32.7905613,4086022845
Şark Eczanesi,39.9740165,32.7920388,4086022851
Yeşil Doğa Eczanesi,39.9643565,32.7458698,4086079830
Yeni Ömür Eczanesi,39.9673239,32.7461212,4086079840
İlke Eczanesi,39.9686213,32.7463181,4086079849
Ostim Meydan Eczanesi,39.9713725,32.7471645,4086122149
Koç Ekim Eczanesi,39.9657277,32.7310383,4086144363
Balım Eczanesi,39.9884812,32.6922686,4086144675
Ihlamur Eczanesi,39.98793,32.6942917,4086165710
Çakırlar Hayat Eczanesi,39.9939782,32.7006974,4086165803
Yiğitin Eczanesi,39.9848734,32.7600493,4086312092
Yeni Şahin Eczanesi,39.9837526,32.7632946,4086312112
Yahyalar Eczanesi,39.9816341,32.7777701,4086312127
Beril Eczanesi,39.9869291,32.8169799,4086312158
Yeni Zeynep Eczanesi,39.9879972,32.8180227,4086352245
Doğantepe Şifa Eczanesi,39.9787766,32.9225839,4086352251
Yeni Ersoy Eczanesi,39.9754976,32.9176869,4086352252
Yunus Emre Eczanesi,39.9663238,32.9114023,4086352263
Kızılcahamam Eczanesi,39.9657219,32.9112432,4086352268
Sedef Eczanesi,39.9665713,32.9118707,4086352282
Nur İkram Eczanesi,39.9573529,32.8955465,4086354191
Gürpınar Eczanesi,39.9574222,32.8953142,4086354192
Adıbelli Eczanesi,39.9577685,32.8943268,4086354193
Taşpınar Eczanesi,39.9349461,32.8861417,4086361312
Başkent Nur Eczanesi,39.9350289,32.8863234,4086361313
Barış Şahin Eczanesi,39.9350086,32.8866,4086361318
Irmak Eczanesi,39.9315556,32.8767077,4086439815
Mersin Eczanesi,39.9310411,32.8756696,4086439830
Belen Eczanesi,39.9297154,32.8705302,4086542957
Serdar Eczanesi,39.9299647,32.8692216,4086543420
Mamak Çarşı Eczanesi,39.9330927,32.9086359,4087586404
Çöllü Eczanesi,39.9329294,32.9092458,4087586409
Mamak Tuna Eczanesi,39.9347191,32.9086873,4087586416
Cemhan Eczanesi,39.9350099,32.8846841,4087595629
Öz Işık Eczanesi,39.9350099,32.8847768,4087595630
Bengi Eczanesi,39.9349788,32.8848544,4087595631
Akarken Eczanesi,39.9349884,32.8849116,4087595632
Selçuk Eczanesi,39.9349776,32.8849734,4087595633
Korhan Eczanesi,39.9349323,32.885465,4087595634
Karahan Eczanesi,39.9350982,32.8839088,4087595639
Angora Eczanesi,39.9354043,32.8824937,4087643154
Batı Eczanesi,39.9717494,32.6947984,4087946797
Yeni Ertürk Eczanesi,39.9719194,32.6948474,4087972511
Cengizhan Eczanesi,39.8998709,32.920174,4089438540
Natoyolu Eczanesi,39.9003079,32.9200946,4089438546
Güldeva Eczanesi,39.9003635,32.9201834,4089438547
Ege Şifa Eczanesi,39.9002936,32.9199522,4089438548
Özdamar Eczanesi,39.9114866,32.9186334,4089499055
Can Ata Eczanesi,39.9122102,32.9169297,4089499060
Barkın Eczanesi,39.9196617,32.9082352,4089547060
Yaseminin Eczanesi,39.9192031,32.9078665,4089547216
Zeki Eczanesi,39.9200052,32.905976,4089547245
Ezgi Gülpınar Eczanesi,39.9220902,32.905253,4089565244
Ebrucan Eczanesi,39.9222532,32.9051467,4089565249
Kayalar Eczanesi,39.9223933,32.904256,4089565288
Öznur Koçak Eczanesi,39.9225001,32.9041378,4089565294
