isim,enlem,boylam,osm_id
Bilinmeyen Avm,39.9405798,32.8575842,1269043269
Bilinmeyen Avm,39.9375348,32.8572011,1269288195
Dikmen Sosyete Pazarı,39.8691783,32.8263582,1304524881
Albir Gross,40.0431341,32.9267175,1313210528
Eser İşhanı Çarşısı,39.9436331,32.8512051,1352850802
İncesu Pazar Yeri,39.9194536,32.8664761,1366600707
Pazar Yeri,39.881151,32.8573497,1382498978
Batıkent Alışveriş Merkezi,39.9674549,32.7338909,1392678743
Keklik Pazarı,39.8719254,32.8306139,1395012914
ANKAmall,39.9512706,32.8312124,12002789
